Date,Prices
01-01-2015,4350
02-01-2015,4500
03-01-2015,4500
04-01-2015,4700
05-01-2015,4700
06-01-2015,4650
07-01-2015,4650
08-01-2015,4650
09-01-2015,4600
10-01-2015,4650
11-01-2015,4600
12-01-2015,4600
13-01-2015,4600
14-01-2015,4600
15-01-2015,4600
16-01-2015,4680
17-01-2015,4745
18-01-2015,4800
19-01-2015,4800
20-01-2015,4800
01-02-2015,4700
02-02-2015,4700
03-02-2015,4650
04-02-2015,4650
05-02-2015,4650
06-02-2015,4600
07-02-2015,4650
08-02-2015,4600
09-02-2015,4600
10-02-2015,4600
11-02-2015,4600
12-02-2015,4600
13-02-2015,4680
14-02-2015,4745
15-02-2015,4723
16-02-2015,4699
17-02-2015,4600
18-02-2015,4540
19-02-2015,4500
20-02-2015,4400
01-03-2015,4434
02-03-2015,4423
03-03-2015,4400
04-03-2015,4389
05-03-2015,4300
06-03-2015,4224
07-03-2015,4100
08-03-2015,4121
09-03-2015,4100
10-03-2015,4029
11-03-2015,4000
12-03-2015,4021
13-03-2015,3920
14-03-2015,3802
15-03-2015,3789
16-03-2015,3747
17-03-2015,3711
18-03-2015,3729
19-03-2015,3778
20-03-2015,3617
01-04-2015,3643
02-04-2015,3643
03-04-2015,3762
04-04-2015,3778
05-04-2015,3617
06-04-2015,3643
07-04-2015,3643
08-04-2015,3762
09-04-2015,3750
10-04-2015,3717
11-04-2015,3766
12-04-2015,3766
13-04-2015,3766
14-04-2015,3766
15-04-2015,3724
16-04-2015,3794
17-04-2015,3811
18-04-2015,3820
19-04-2015,3859
20-04-2015,3859
01-05-2015,3859
02-05-2015,3967
03-05-2015,4012
04-05-2015,4028
05-05-2015,4005
06-05-2015,4005
07-05-2015,4005
08-05-2015,4050
09-05-2015,4125
10-05-2015,4178
11-05-2015,4188
12-05-2015,4180
13-05-2015,4180
14-05-2015,4189
15-05-2015,4189
16-05-2015,4181
17-05-2015,4183
18-05-2015,4135
19-05-2015,4135
20-05-2015,4135
01-06-2015,4139
02-06-2015,4139
03-06-2015,4100
04-06-2015,4118
05-06-2015,4127
06-06-2015,4146
07-06-2015,4146
08-06-2015,4229
09-06-2015,4256
10-06-2015,4264
11-06-2015,4209
12-06-2015,4209
13-06-2015,4257
14-06-2015,4350
15-06-2015,4379
16-06-2015,4403
17-06-2015,4372
18-06-2015,4372
19-06-2015,4355
20-06-2015,4344
01-07-2015,4337
02-07-2015,4254
03-07-2015,4279
04-07-2015,4284
05-07-2015,4284
06-07-2015,4284
07-07-2015,4218
08-07-2015,4269
09-07-2015,4204
10-07-2015,4184
11-07-2015,4189
12-07-2015,4189
13-07-2015,4173
14-07-2015,4100
15-07-2015,4087
16-07-2015,4030
17-07-2015,4059
18-07-2015,4163
19-07-2015,4163
20-07-2015,4163
01-01-2016,4100
02-01-2016,4050
03-01-2016,4025
04-01-2016,4025
05-01-2016,4025
06-01-2016,4009
07-01-2016,4009
08-01-2016,4009
09-01-2016,4025
10-01-2016,4025
11-01-2016,4025
12-01-2016,4025
13-01-2016,4025
14-01-2016,4025
15-01-2016,3900
16-01-2016,3800
17-01-2016,3908
18-01-2016,4009
19-01-2016,4009
20-01-2016,4009
01-02-2016,4009
02-02-2016,4009
03-02-2016,4009
04-02-2016,4009
05-02-2016,3920
06-02-2016,3900
07-02-2016,3840
08-02-2016,3780
09-02-2016,3790
10-02-2016,3888
11-02-2016,3888
12-02-2016,3888
13-02-2016,3781
14-02-2016,3791
15-02-2016,3791
16-02-2016,3888
17-02-2016,3888
18-02-2016,3888
19-02-2016,3900
20-02-2016,3888
01-03-2016,3888
02-03-2016,3781
03-03-2016,3791
04-03-2016,3791
05-03-2016,3888
06-03-2016,3888
07-03-2016,3888
08-03-2016,3900
09-03-2016,3888
10-03-2016,3888
11-03-2016,3781
12-03-2016,3791
13-03-2016,3791
14-03-2016,3888
15-03-2016,3888
16-03-2016,3888
17-03-2016,3900
18-03-2016,3970
19-03-2016,4140
20-03-2016,4190
01-04-2016,4207
02-04-2016,4198
03-04-2016,4159
04-04-2016,4207
05-04-2016,4207
06-04-2016,4207
07-04-2016,4207
08-04-2016,4207
09-04-2016,4231
10-04-2016,4194
11-04-2016,4222
12-04-2016,4222
13-04-2016,4264
14-04-2016,4232
15-04-2016,4217
16-04-2016,4152
17-04-2016,4149
18-04-2016,4116
19-04-2016,4116
20-04-2016,4128
01-05-2016,4158
02-05-2016,4158
03-05-2016,4146
04-05-2016,4146
05-05-2016,4089
06-05-2016,4089
07-05-2016,4165
08-05-2016,4103
09-05-2016,4160
10-05-2016,4162
11-05-2016,4162
12-05-2016,4205
13-05-2016,4205
14-05-2016,4227
15-05-2016,4227
16-05-2016,4333
17-05-2016,4333
18-05-2016,4333
19-05-2016,4333
20-05-2016,4333
01-06-2016,4229
02-06-2016,4256
03-06-2016,4264
04-06-2016,4209
05-06-2016,4209
06-06-2016,4257
07-06-2016,4350
08-06-2016,4379
09-06-2016,4403
10-06-2016,4372
11-06-2016,4372
12-06-2016,4355
13-06-2016,4344
14-06-2016,4229
15-06-2016,4256
16-06-2016,4264
17-06-2016,4209
18-06-2016,4209
19-06-2016,4257
20-06-2016,4350
01-07-2016,4337
02-07-2016,4254
03-07-2016,4279
04-07-2016,4284
05-07-2016,4284
06-07-2016,4284
07-07-2016,4218
08-07-2016,4269
09-07-2016,4204
10-07-2016,4184
11-07-2016,4189
12-07-2016,4189
13-07-2016,4173
14-07-2016,4100
15-07-2016,4087
16-07-2016,4030
17-07-2016,4059
18-07-2016,4163
19-07-2016,4163
20-07-2016,4163
01-01-2017,4129
02-01-2017,4147
03-01-2017,4147
04-01-2017,4396
06-01-2017,4344
07-01-2017,4360
08-01-2017,4379
09-01-2017,4366
10-01-2017,4366
11-01-2017,4366
12-01-2017,4352
13-01-2017,4311
14-01-2017,4300
15-01-2017,4300
16-01-2017,4300
17-01-2017,4300
18-01-2017,4300
19-01-2017,4305
20-01-2017,4237
01-02-2017,4213
02-02-2017,4290
03-02-2017,4339
04-02-2017,4263
05-02-2017,4263
06-02-2017,4193
07-02-2017,4193
08-02-2017,4272
09-02-2017,4185
10-02-2017,4089
11-02-2017,4109
12-02-2017,4101
13-02-2017,4100
14-02-2017,4109
15-02-2017,4115
16-02-2017,4113
17-02-2017,4129
18-02-2017,4129
19-02-2017,4129
20-02-2017,4118
01-03-2017,4158
02-03-2017,4200
03-03-2017,4280
04-03-2017,4360
05-03-2017,4420
06-03-2017,4540
07-03-2017,4619
08-03-2017,4690
09-03-2017,4720
10-03-2017,4790
11-03-2017,4830
12-03-2017,4800
13-03-2017,4880
14-03-2017,4930
15-03-2017,5000
16-03-2017,5140
17-03-2017,5200
18-03-2017,5270
19-03-2017,5300
20-03-2017,5304
01-04-2017,5390
02-04-2017,5376
03-04-2017,5315
04-04-2017,5357
05-04-2017,5230
06-04-2017,5231
07-04-2017,5264
08-04-2017,5224
09-04-2017,5311
10-04-2017,5311
11-04-2017,5365
12-04-2017,5380
13-04-2017,5362
14-04-2017,5397
15-04-2017,5428
16-04-2017,5348
17-04-2017,5348
18-04-2017,5334
19-04-2017,5334
20-04-2017,5334
01-05-2017,5334
02-05-2017,5485
03-05-2017,5485
04-05-2017,5509
05-05-2017,5552
06-05-2017,5552
07-05-2017,5559
08-05-2017,5574
09-05-2017,5551
10-05-2017,5551
11-05-2017,5582
12-05-2017,5582
13-05-2017,5582
14-05-2017,5501
15-05-2017,5501
16-05-2017,5497
17-05-2017,5497
18-05-2017,5457
19-05-2017,5412
20-05-2017,5424
01-06-2017,5370
02-06-2017,5355
03-06-2017,5449
04-06-2017,5449
05-06-2017,5439
06-06-2017,5383
07-06-2017,5383
08-06-2017,5372
09-06-2017,5325
10-06-2017,5325
11-06-2017,5325
12-06-2017,5324
13-06-2017,5317
14-06-2017,5305
15-06-2017,5299
16-06-2017,5338
17-06-2017,5338
18-06-2017,5287
19-06-2017,5297
20-06-2017,5300
01-07-2017,5291
02-07-2017,5270
03-07-2017,5258
04-07-2017,5258
05-07-2017,5308
06-07-2017,5221
07-07-2017,5126
08-07-2017,5126
09-07-2017,5187
10-07-2017,5169
11-07-2017,5169
12-07-2017,5280
13-07-2017,5337
15-07-2017,5337
16-07-2017,5337
17-07-2017,5289
18-07-2017,5367
19-07-2017,5367
20-07-2017,5317
