Date,Prices,,,,,,,,,,,,,
01-01-2015,3950,,,,,,,,,,,,,
02-01-2015,3950,,,,,,,,,,,,,
03-01-2015,3950,,,,,,,,,,,,,
04-01-2015,3950,,,,,,,,,,,,,
05-01-2015,3950,,,,,,,,,,,,,
06-01-2015,3950,,,,,,,,,,,,,
07-01-2015,3950,,,,,,,,,,,,,
08-01-2015,3950,,,,,,,,,,,,,
09-01-2015,3950,,,,,,,,,,,,,
10-01-2015,3950,,,,,,,,,,,,,
11-01-2015,3950,,,,,,,,,,,,,
12-01-2015,3950,,,,,,,,,,,,,
13-01-2015,3950,,,,,,,,,,,,,
14-01-2015,3950,,,,,,,,,,,,,
15-01-2015,3950,,,,,,,,,,,,,
16-01-2015,3950,,,,,,,,,,,,,
17-01-2015,3800,,,,,,,,,,,,,
18-01-2015,3950,,,,,,,,,,,,,
19-01-2015,3800,,,,,,,,,,,,,
20-01-2015,3800,,,,,,,,,,,,,
21-01-2015,3800,,,,,,,,,,,,,
22-01-2015,3600,,,,,,,,,,,,,
23-01-2015,3600,,,,,,,,,,,,,
24-01-2015,4000,,,,,,,,,,,,,
25-01-2015,4550,,,,,,,,,,,,,
26-01-2015,4300,,,,,,,,,,,,,
27-01-2015,4100,,,,,,,,,,,,,
28-01-2015,4050,,,,,,,,,,,,,
29-01-2015,4050,,,,,,,,,,,,,
30-01-2015,4000,,,,,,,,,,,,,
31-01-2015,4000,,,,,,,,,,,,,
01-02-2015,4000,,,,,,,,,,,,,
02-02-2015,3950,,,,,,,,,,,,,
03-02-2015,4000,,,,,,,,,,,,,
04-02-2015,3950,,,,,,,,,,,,,
05-02-2015,3700,,,,,,,,,,,,,
06-02-2015,3700,,,,,,,,,,,,,
07-02-2015,3700,,,,,,,,,,,,,
08-02-2015,3800,,,,,,,,,,,,,
09-02-2015,4000,,,,,,,,,,,,,
10-02-2015,4000,,,,,,,,,,,,,
11-02-2015,4100,,,,,,,,,,,,,
12-02-2015,4000,,,,,,,,,,,,,
13-02-2015,3900,,,,,,,,,,,,,
14-02-2015,4100,,,,,,,,,,,,,
15-02-2015,4100,,,,,,,,,,,,,
16-02-2015,4000,,,,,,,,,,,,,
17-02-2015,4000,,,,,,,,,,,,,
18-02-2015,4000,,,,,,,,,,,,,
19-02-2015,4000,,,,,,,,,,,,,
20-02-2015,4000,,,,,,,,,,,,,
21-02-2015,3950,,,,,,,,,,,,,
22-02-2015,4025,,,,,,,,,,,,,
23-02-2015,4025,,,,,,,,,,,,,
24-02-2015,4025,,,,,,,,,,,,,
25-02-2015,4025,,,,,,,,,,,,,
26-02-2015,3950,,,,,,,,,,,,,
27-02-2015,3950,,,,,,,,,,,,,
28-02-2015,3950,,,,,,,,,,,,,
01-03-2015,3950,,,,,,,,,,,,,
02-03-2015,3950,,,,,,,,,,,,,
03-03-2015,3950,,,,,,,,,,,,,
04-03-2015,4000,,,,,,,,,,,,,
05-03-2015,4000,,,,,,,,,,,,,
06-03-2015,4000,,,,,,,,,,,,,
07-03-2015,4000,,,,,,,,,,,,,
08-03-2015,3950,,,,,,,,,,,,,
09-03-2015,4000,,,,,,,,,,,,,
10-03-2015,4050,,,,,,,,,,,,,
11-03-2015,4050,,,,,,,,,,,,,
12-03-2015,4250,,,,,,,,,,,,,
13-03-2015,4100,,,,,,,,,,,,,
14-03-2015,4150,,,,,,,,,,,,,
15-03-2015,3500,,,,,,,,,,,,,
16-03-2015,3500,,,,,,,,,,,,,
17-03-2015,3500,,,,,,,,,,,,,
18-03-2015,3500,,,,,,,,,,,,,
19-03-2015,3500,,,,,,,,,,,,,
20-03-2015,3500,,,,,,,,,,,,,
21-03-2015,3500,,,,,,,,,,,,,
22-03-2015,3500,,,,,,,,,,,,,
23-03-2015,3500,,,,,,,,,,,,,
24-03-2015,3300,,,,,,,,,,,,,
25-03-2015,3300,,,,,,,,,,,,,
26-03-2015,3300,,,,,,,,,,,,,
27-03-2015,3300,,,,,,,,,,,,,
28-03-2015,3300,,,,,,,,,,,,,
29-03-2015,3300,,,,,,,,,,,,,
30-03-2015,3300,,,,,,,,,,,,,
31-03-2015,3300,,,,,,,,,,,,,
01-04-2015,3300,,,,,,,,,,,,,
02-04-2015,3200,,,,,,,,,,,,,
03-04-2015,3200,,,,,,,,,,,,,
04-04-2015,3200,,,,,,,,,,,,,
05-04-2015,3200,,,,,,,,,,,,,
06-04-2015,3200,,,,,,,,,,,,,
07-04-2015,3200,,,,,,,,,,,,,
08-04-2015,3200,,,,,,,,,,,,,
09-04-2015,3200,,,,,,,,,,,,,
10-04-2015,3200,,,,,,,,,,,,,
11-04-2015,3100,,,,,,,,,,,,,
12-04-2015,3000,,,,,,,,,,,,,
13-04-2015,3000,,,,,,,,,,,,,
14-04-2015,3000,,,,,,,,,,,,,
15-04-2015,3000,,,,,,,,,,,,,
16-04-2015,3000,,,,,,,,,,,,,
17-04-2015,3000,,,,,,,,,,,,,
